post_id,followers,likes,comments,shares,engagement_rate,growth rate,log_followers,likes_per_follower,comments_per_follower,shares_per_follower,comment_to_like_ratio,iso_score,lof_score,score_disagreement,fraud_score,risk_level,flagged_fraud,vetting_action,Label
IG0000001,615036,31627,7559,4530,7.11,0.146170305,13.329437707580585,0.05142300613297433,0.012290337476180257,0.0073654225118529645,0.2390046479274038,9.249832930620272,0.6354439034975699,8.614389027122701,5.804077319771191,Low,0,Low Risk — Auto approve,genuine
IG0000002,1237071,63206,3490,1680,5.53,0.065073064,14.02825785501625,0.05109326788842354,0.0028211800292788367,0.0013580465470454,0.05521627693573395,2.01625464180069,0.6125627744097472,1.4036918673909429,1.4547778948443129,Low,0,Low Risk — Auto approve,genuine
IG0000003,1127470,94373,3727,1761,8.86,0.06723017,13.935487629407348,0.08370333578720499,0.003305631191960762,0.0015619040861397642,0.03949222764985748,0.706647722714117,0.3298409444125067,0.3768067783016103,0.555925011393473,Low,0,Low Risk — Auto approve,genuine
IG0000004,764030,172053,7222,2875,23.84,0.052615735,13.546363643241708,0.22519141918511054,0.009452508409355654,0.003762941245762601,0.04197543780114267,4.045351456534976,0.24396023369820166,3.8013912228367746,2.524794967400266,Low,0,Low Risk — Auto approve,fraud
IG0000005,7004,99646,2703,4444,1524.74,2.213021131,8.854379458771108,14.227013135351228,0.3859223300970874,0.6344945745288406,0.02712602613250908,85.78440828669183,6.793409305455974,78.99099898123586,54.188008694197485,High,1,High Risk — Request audience proof,fraud
IG0000006,311157,10500,7337,3601,6.89,0.290528576,12.648056100738671,0.03374502260916515,0.02357973627461378,0.011572935849105114,0.6987619047619048,22.34626862928943,2.0627390165068666,20.283529612782562,14.232856784176404,Low,0,Low Risk — Auto approve,genuine
IG0000007,277864,193906,6326,4384,73.64,0.252281692,12.534890663214528,0.6978449889154407,0.02276653326807359,0.015777502663173352,0.032624054954462474,22.043475318425163,0.8210340102855583,21.222441308139604,13.55449879516932,Low,0,Low Risk — Auto approve,fraud
IG0000008,1185935,27317,3289,2352,2.78,0.075383558,13.986042894183253,0.023034146053535817,0.002773339179634634,0.001983245287473597,0.12040121536039829,4.217469889057157,1.3883125156516225,2.8291573734055344,3.0858069396949435,Low,0,Low Risk — Auto approve,genuine
IG0000009,906114,90827,6557,570,10.81,0.081557067,13.716921508537316,0.10023793915555879,0.007236396303334901,0.0006290599196127639,0.07219218954716108,2.193072337306052,0.20610423404504444,1.9869681032610074,1.3982850960016489,Low,0,Low Risk — Auto approve,genuine
IG0000010,1212435,67067,5988,3223,6.29,0.050394454,14.008142116895522,0.05531595508212812,0.004938821462593871,0.0026582868359953317,0.08928385047788033,1.4018422576722882,0.25713495505665956,1.1447073026156287,0.9439593366260367,Low,0,Low Risk — Auto approve,genuine
IG0000011,624350,177091,3529,1102,29.11,0.062464964,13.344467989207741,0.28364058620965804,0.005652278369504284,0.001765035637062545,0.019927607840037043,6.75777878506056,0.35672941779569645,6.401049367264863,4.197359038154614,Low,0,Low Risk — Auto approve,fraud
IG0000012,1350241,75759,2422,2970,6.01,0.017774605,14.11579439360885,0.05610776150331682,0.001793753855793151,0.0021996073293582405,0.031969798967779406,1.5153351542015452,0.5629449265121876,0.9523902276893575,1.1343790631258022,Low,0,Low Risk — Auto approve,genuine
IG0000013,1223295,78492,4567,3686,7.09,0.04030099,14.017059413185796,0.0641644084215173,0.0037333594921911723,0.0030131734373147934,0.058184273556540794,0.9586445613621909,0.3350000558960703,0.6236445054661206,0.7091867591757426,Low,0,Low Risk — Auto approve,genuine
IG0000014,837272,152517,2030,275,18.49,0.094592916,13.637905461165966,0.18215944161515016,0.002424540651066798,0.00032844762514451693,0.013309991673059397,4.507916793531591,0.3550598410246767,4.152856952506915,2.8467740125288254,Low,0,Low Risk — Auto approve,genuine
IG0000015,119869,29834,3242,1434,28.79,0.674069192,11.694163101201145,0.24888836980370238,0.027046192093034896,0.011963059673476878,0.1086679627270899,27.085818587059965,0.4181144293055185,26.667704157754446,16.418736923958186,Low,0,Low Risk — Auto approve,fraud
IG0000016,1713467,180946,4638,3852,11.06,0.043887627,14.35402994489627,0.10560226721611797,0.002706792719089425,0.0022480736425037656,0.025631956495307993,2.790843812731381,0.48574638920190977,2.3050974235294714,1.8688048433195925,Low,0,Low Risk — Auto approve,genuine
IG0000017,582403,120368,9052,3429,22.81,0.157966219,13.274919643972895,0.20667475957369724,0.015542502356615608,0.005887675715956133,0.07520271168416855,7.994118992836955,1.1436593396825845,6.85045965315437,5.253935131575206,Low,0,Low Risk — Auto approve,fraud
IG0000018,1031407,180326,9546,2854,18.69,0.089489406,13.846435417016462,0.17483495845965755,0.009255318220644227,0.0027670938824343834,0.05293745771547087,4.2205336176921,1.104931609590725,3.1156020081013747,2.9742928144515495,Low,0,Low Risk — Auto approve,genuine
IG0000019,61120,111231,6343,209,192.71,1.459424084,11.020610784963102,1.8198789267015707,0.1037794502617801,0.003419502617801047,0.05702546951838966,49.38875100375405,0.8069006794437251,48.581850324310324,29.95601087402992,Low,1,Low Risk — Auto approve,fraud
IG0000020,650215,53222,2548,3798,9.16,0.033219781,13.385059894362156,0.08185292557077274,0.003918703813354045,0.005841144852087386,0.04787493893502687,3.2802970561521176,0.5955456794934908,2.684751376658627,2.2063965054886667,Low,0,Low Risk — Auto approve,genuine
IG0000021,1613651,139872,5166,1129,9.06,0.0053915,14.294010491181224,0.08668045320828358,0.0032014357503574193,0.000699655625658832,0.036933768016472204,2.5522178965371296,0.44031345180273146,2.111904444734398,1.7074561186433703,Low,0,Low Risk — Auto approve,genuine
IG0000022,57656,179760,1745,4286,322.24,1.28694325,10.962266940702515,3.1178021368114335,0.030265713889274317,0.07433744970167892,0.009707387627948375,54.77768221062863,1.0139308660866193,53.763751344542015,33.272181672811826,Medium,1,Medium Risk — Manual review required,fraud
IG0000023,1570109,150007,1442,3388,9.86,0.019807542,14.266656238564412,0.09553922689443854,0.0009184075755250113,0.002157811973563619,0.009612884732045838,2.8247366878128983,0.35146977725468376,2.4732669105582143,1.8354299235896125,Low,0,Low Risk — Auto approve,genuine
IG0000024,389616,56044,5321,871,15.97,0.01642643,12.87291948429548,0.1438441953102542,0.013657036672005256,0.002235534474970227,0.09494325886803226,6.483122304168848,0.7098578057322534,5.773264498436594,4.1738165047942095,Low,0,Low Risk — Auto approve,genuine
IG0000025,1553546,141510,4389,2317,9.54,0.025361335,14.256051261622153,0.09108838746969836,0.002825149689806417,0.0014914267102486827,0.031015475938096247,1.3865205434487067,0.18249523262084458,1.204025310827862,0.9049104191175618,Low,0,Low Risk — Auto approve,genuine
IG0000026,7054,77071,2115,2268,1154.72,3.444853984,8.861491864286915,10.925857669407428,0.2998298837538985,0.3215197051318401,0.027442228594412945,83.29245652831268,3.668092797383015,79.62436373092967,51.44271103594082,High,1,High Risk — Request audience proof,fraud
IG0000027,1610322,198903,709,2532,12.55,0.057441928,14.291945337956934,0.12351753251834105,0.0004402846138846765,0.001572356336186179,0.003564551565335867,4.473825968595785,1.0504329499835767,3.4233930186122077,3.104468761150901,Low,0,Low Risk — Auto approve,genuine
IG0000028,49036,6178,3937,4023,28.83,1.139978791,10.800330394187467,0.12598906925524106,0.08028795170894852,0.08204176523370585,0.6372612495953383,55.394188124645986,0.7028369451846905,54.69135117946129,33.51764765286147,Medium,1,Medium Risk — Manual review required,fraud
IG0000029,450443,83922,9759,4502,21.8,0.084805403,13.017989041977554,0.1863099215661027,0.021665338344696222,0.00999460531077184,0.11628655179809823,9.643503752675748,0.5463734492579385,9.09713030341781,6.004651631308624,Low,0,Low Risk — Auto approve,fraud
IG0000030,1264626,139696,4348,1417,11.5,0.022615382,14.050287775003431,0.11046427955775068,0.0034381706528254204,0.0011204893778872173,0.03112472798075822,1.3551293933220618,0.18629686985501365,1.1688325234670482,0.8875963839352425,Low,0,Low Risk — Auto approve,genuine
IG0000031,1941850,99119,529,15,5.13,0.021577362,14.479152199864146,0.051043592450498235,0.00027242062981177743,7.724592527744161e-06,0.005337019138611164,8.099438513244293,0.38506779641167654,7.714370716832616,5.013690226511246,Low,0,Low Risk — Auto approve,genuine
IG0000032,1854517,182869,9458,3131,10.54,0.006147153,14.433135381984927,0.09860734627938164,0.00509998021048068,0.0016883102177008892,0.05172008377581766,3.8317656503514392,0.8745750483447173,2.957190602006722,2.64888940954875,Low,0,Low Risk — Auto approve,genuine
IG0000033,30495,166153,994,4272,562.12,2.892277423,10.325350806453928,5.448532546319068,0.032595507460239384,0.1400885391047713,0.005982437873526208,72.23618318159608,1.0765428137910789,71.159640367805,43.77232703447408,Medium,1,Medium Risk — Manual review required,fraud
IG0000034,1649160,30655,6902,2969,2.46,0.053845594,14.315777231706017,0.018588250988381964,0.0041851609304130585,0.0018003104610832181,0.22515087261458164,4.613959049077205,0.8442188752999901,3.769740173777215,3.106062979566319,Low,0,Low Risk — Auto approve,genuine
IG0000035,655786,21308,4222,4339,4.55,0.139679713,13.3935913200794,0.03249230694159375,0.006438075835714699,0.006616487695681213,0.19814154308241036,8.266905047819165,0.7151522493794142,7.55175279843975,5.246203928443264,Low,0,Low Risk — Auto approve,genuine
IG0000036,260626,127939,6015,1725,52.06,0.330358445,12.47084554536667,0.4908911620482991,0.023079048137944796,0.006618679640557734,0.047014592891925056,16.544453143321864,0.2417697802469306,16.302683363074934,10.02337979809189,Low,0,Low Risk — Auto approve,fraud
IG0000037,1209734,51285,7705,3797,5.19,0.027774701,14.005911885322648,0.04239361710921574,0.0063691687594132265,0.0031387065255667774,0.15023886126547722,2.8481172159483985,0.47717541970162786,2.3709417962467705,1.8997404974496903,Low,0,Low Risk — Auto approve,genuine
IG0000038,898792,59876,4565,461,7.22,0.034601999,13.70880803110099,0.06661830545888259,0.005079039421801707,0.000512910662311191,0.07624089785556817,1.2344797711324615,0.28985655639407854,0.9446232147383831,0.8566304852371084,Low,0,Low Risk — Auto approve,genuine
IG0000039,1478100,50998,4503,2231,3.91,0.042013396,14.206268713744148,0.03450240173195318,0.003046478587375685,0.0015093701373384751,0.08829758029726656,1.8846306697959359,0.3980511463756093,1.4865795234203265,1.2899988604278052,Low,0,Low Risk — Auto approve,genuine
IG0000040,1294970,18737,6615,250,1.98,0.070040233,14.073998859042636,0.01446906105932956,0.00510822644540028,0.00019305466535904307,0.3530447777125474,8.375429040516812,1.379882937756027,6.995546102760785,5.577210599412497,Low,0,Low Risk — Auto approve,genuine
IG0000041,1316621,78059,5416,419,6.37,0.027266768,14.090579923583128,0.0592873727519157,0.004113560394373172,0.00031823888575375906,0.06938341510908415,1.834864944349336,0.33942314202274737,1.4954418023265885,1.2366882234187004,Low,0,Low Risk — Auto approve,genuine
IG0000042,1161849,65342,1290,1139,5.83,0.015836826,13.965524120281758,0.05623966625611418,0.0011102991868995025,0.0009803339332391731,0.019742279085427444,1.6349646669872249,0.40657086212292054,1.2283938048643044,1.143607145041503,Low,0,Low Risk — Auto approve,genuine
IG0000043,647882,140896,1729,4453,22.7,0.13459241,13.38146540347674,0.21747170009353556,0.0026686958427614904,0.006873165175139918,0.012271462639109698,6.037245983862573,0.7186099145980219,5.318636069264551,3.9097915561567524,Low,0,Low Risk — Auto approve,fraud
IG0000044,1085399,113836,226,1319,10.63,0.037681995,13.897459140611442,0.10487940379528635,0.0002082183602527734,0.0012152213149265846,0.0019853122035208546,2.450313292329215,0.381084353924747,2.069228938404468,1.6226217169674277,Low,0,Low Risk — Auto approve,genuine
IG0000045,76465,9849,8809,1503,26.37,0.54796312,11.244601476575477,0.12880402798666057,0.11520303406787419,0.019656051788399923,0.8944055234033912,46.71293134232487,1.414376486854268,45.298554855470606,28.59350940013663,Low,1,Low Risk — Auto approve,fraud
IG0000046,287485,199799,10000,4736,74.62,0.321408073,12.568929442381696,0.694989303789763,0.03478442353514096,0.01647390298624276,0.05005030055205482,23.090554327521936,2.017022048525059,21.073532278996876,14.661141415923186,Low,0,Low Risk — Auto approve,fraud
IG0000047,791098,55951,271,4931,7.73,0.006193923,13.581178396945992,0.07072575079193728,0.00034256185706448504,0.006233108919501756,0.004843523797608622,5.569173763201623,0.7841948307156543,4.784978932485968,3.6551821902072352,Low,0,Low Risk — Auto approve,genuine
IG0000048,312299,92643,1642,160,30.24,0.107268995,12.65171954327117,0.29664840425361594,0.005257781805257142,0.0005123295303539236,0.017723951081031485,8.890007578250199,0.4857632788607111,8.404244299389488,5.528309858494404,Low,0,Low Risk — Auto approve,fraud
IG0000049,169872,71897,4958,48,45.27,0.520980503,12.042806378021371,0.4232422058962042,0.02918668173683715,0.00028256569652444194,0.0689597618815806,24.158547085473455,0.24864709479450234,23.90989999067895,14.594587089201873,Low,0,Low Risk — Auto approve,fraud
IG0000050,1483982,56382,9141,713,4.46,0.024932917,14.210240247118241,0.03799372229582299,0.006159778218334184,0.00048046404875530833,0.16212621049271045,4.0598526358446625,0.7943214743521495,3.265531161492513,2.7536401712476573,Low,0,Low Risk — Auto approve,genuine
IG0000051,1593846,121423,4768,3955,8.17,0.026727802,14.28166114878191,0.07618239152339687,0.0029915060802612045,0.0024814191584381427,0.03926768404667979,1.4622095283995125,0.15286513573861527,1.3093443926608972,0.9384717713351535,Low,0,Low Risk — Auto approve,genuine
IG0000052,1314525,75538,2363,667,5.98,0.066183602,14.088986702340259,0.05746410300298587,0.0017976075008082767,0.0005074076187215914,0.03128226852709894,2.7289445348061165,0.4587366749875963,2.2702078598185205,1.8208613908787086,Low,0,Low Risk — Auto approve,genuine
