post_id,likes,comments,shares,followers,engagement_rate,growth rate,engagement,Clause 1,Clause 2,Combined,Label
IG0000001,31627,7559,4530,615036,7.11,0.146170305,43716,0,0,0,genuine
IG0000002,63206,3490,1680,1237071,5.53,0.065073064,68376,0,0,0,genuine
IG0000003,94373,3727,1761,1127470,8.86,0.06723017,99861,0,0,0,genuine
IG0000004,172053,7222,2875,764030,23.84,0.052615735,182150,1,0,1,fraud
IG0000005,99646,2703,4444,7004,1524.74,2.213021131,106793,1,0,1,fraud
IG0000006,10500,7337,3601,311157,6.89,0.290528576,21438,0,0,0,genuine
IG0000007,193906,6326,4384,277864,73.64,0.252281692,204616,1,0,1,fraud
IG0000008,27317,3289,2352,1185935,2.78,0.075383558,32958,0,0,0,genuine
IG0000009,90827,6557,570,906114,10.81,0.081557067,97954,0,0,0,genuine
IG0000010,67067,5988,3223,1212435,6.29,0.050394454,76278,0,0,0,genuine
IG0000011,177091,3529,1102,624350,29.11,0.062464964,181722,1,0,1,fraud
IG0000012,75759,2422,2970,1350241,6.01,0.017774605,81151,0,0,0,genuine
IG0000013,78492,4567,3686,1223295,7.09,0.04030099,86745,0,0,0,genuine
IG0000014,152517,2030,275,837272,18.49,0.094592916,154822,0,0,0,genuine
IG0000015,29834,3242,1434,119869,28.79,0.674069192,34510,1,0,1,fraud
IG0000016,180946,4638,3852,1713467,11.06,0.043887627,189436,0,0,0,genuine
IG0000017,120368,9052,3429,582403,22.81,0.157966219,132849,1,0,1,fraud
IG0000018,180326,9546,2854,1031407,18.69,0.089489406,192726,0,0,0,genuine
IG0000019,111231,6343,209,61120,192.71,1.459424084,117783,1,0,1,fraud
IG0000020,53222,2548,3798,650215,9.16,0.033219781,59568,0,0,0,genuine
IG0000021,139872,5166,1129,1613651,9.06,0.0053915,146167,0,0,0,genuine
IG0000022,179760,1745,4286,57656,322.24,1.28694325,185791,1,0,1,fraud
IG0000023,150007,1442,3388,1570109,9.86,0.019807542,154837,0,0,0,genuine
IG0000024,56044,5321,871,389616,15.97,0.01642643,62236,0,0,0,genuine
IG0000025,141510,4389,2317,1553546,9.54,0.025361335,148216,0,0,0,genuine
IG0000026,77071,2115,2268,7054,1154.72,3.444853984,81454,1,0,1,fraud
IG0000027,198903,709,2532,1610322,12.55,0.057441928,202144,0,0,0,genuine
IG0000028,6178,3937,4023,49036,28.83,1.139978791,14138,1,0,1,fraud
IG0000029,83922,9759,4502,450443,21.8,0.084805403,98183,1,0,1,fraud
IG0000030,139696,4348,1417,1264626,11.5,0.022615382,145461,0,0,0,genuine
IG0000031,99119,529,15,1941850,5.13,0.021577362,99663,0,0,0,genuine
IG0000032,182869,9458,3131,1854517,10.54,0.006147153,195458,0,0,0,genuine
IG0000033,166153,994,4272,30495,562.12,2.892277423,171419,1,0,1,fraud
IG0000034,30655,6902,2969,1649160,2.46,0.053845594,40526,0,0,0,genuine
IG0000035,21308,4222,4339,655786,4.55,0.139679713,29869,0,0,0,genuine
IG0000036,127939,6015,1725,260626,52.06,0.330358445,135679,1,0,1,fraud
IG0000037,51285,7705,3797,1209734,5.19,0.027774701,62787,0,0,0,genuine
IG0000038,59876,4565,461,898792,7.22,0.034601999,64902,0,0,0,genuine
IG0000039,50998,4503,2231,1478100,3.91,0.042013396,57732,0,0,0,genuine
IG0000040,18737,6615,250,1294970,1.98,0.070040233,25602,0,0,0,genuine
IG0000041,78059,5416,419,1316621,6.37,0.027266768,83894,0,0,0,genuine
IG0000042,65342,1290,1139,1161849,5.83,0.015836826,67771,0,0,0,genuine
IG0000043,140896,1729,4453,647882,22.7,0.13459241,147078,1,0,1,fraud
IG0000044,113836,226,1319,1085399,10.63,0.037681995,115381,0,0,0,genuine
IG0000045,9849,8809,1503,76465,26.37,0.54796312,20161,1,0,1,fraud
IG0000046,199799,10000,4736,287485,74.62,0.321408073,214535,1,0,1,fraud
IG0000047,55951,271,4931,791098,7.73,0.006193923,61153,0,0,0,genuine
IG0000048,92643,1642,160,312299,30.24,0.107268995,94445,1,0,1,fraud
IG0000049,71897,4958,48,169872,45.27,0.520980503,76903,1,0,1,fraud
IG0000050,56382,9141,713,1483982,4.46,0.024932917,66236,0,0,0,genuine
IG0000051,121423,4768,3955,1593846,8.17,0.026727802,130146,0,0,0,genuine
IG0000052,75538,2363,667,1314525,5.98,0.066183602,78568,0,0,0,genuine
IG0000053,94378,3201,3358,735516,13.72,0.069882912,100937,0,0,0,genuine
IG0000054,98569,2493,2853,1265707,8.21,0.074819844,103915,0,0,0,genuine
IG0000055,2188,7455,3571,1482516,0.89,0.042967496,13214,0,0,0,genuine
IG0000056,4739,502,2253,221133,3.39,0.260476727,7494,0,0,0,genuine
IG0000057,60395,1113,1287,1902423,3.3,0.032642583,62795,0,0,0,genuine
IG0000058,71753,3088,2025,1016814,7.56,0.065793744,76866,0,0,0,genuine
IG0000059,191385,1642,1593,1943435,10.01,0.03524687,194620,0,0,0,genuine
IG0000060,59042,8574,1978,1073192,6.48,0.053485304,69594,0,0,0,genuine
IG0000061,133031,2984,2589,316800,43.75,0.025252525,138604,1,0,1,fraud
IG0000062,71357,1052,4246,1238595,6.19,0.007427771,76655,0,0,0,genuine
IG0000063,93544,7310,2118,1727309,5.96,0.041567548,102972,0,0,0,genuine
IG0000064,171840,2616,1547,885241,19.88,0.055691049,176003,0,0,0,genuine
IG0000065,143899,2074,1844,1730179,8.54,0.020807096,147817,0,0,0,genuine
IG0000066,159218,772,1580,104738,154.26,0.845920296,161570,1,0,1,fraud
IG0000067,197177,9805,380,933713,22.21,0.035878262,207362,1,0,1,fraud
IG0000068,21996,273,641,974583,2.35,0.053766585,22910,0,0,0,genuine
IG0000069,155671,5884,3487,1678552,9.83,0.048613329,165042,0,0,0,genuine
IG0000070,5576,8050,1575,1888156,0.81,0.018960298,15201,0,0,0,genuine
IG0000071,106477,3839,2184,1140404,9.86,0.021395926,112500,0,0,0,genuine
IG0000072,113592,2949,4820,156274,77.66,0.35514545,121361,1,0,1,fraud
IG0000073,104651,5249,810,619213,17.88,0.036820932,110710,0,0,0,genuine
IG0000074,83034,9183,526,888730,10.44,0.083377404,92743,0,0,0,genuine
IG0000075,85288,6649,1946,1915192,4.9,0.011226029,93883,0,0,0,genuine
IG0000076,107296,2538,3498,179126,63.27,0.080948606,113332,1,0,1,fraud
IG0000077,7473,3919,1702,317075,4.13,0.307182843,13094,0,0,0,genuine
IG0000078,135256,1370,1716,815701,16.96,0.008949358,138342,0,0,0,genuine
IG0000079,117267,7780,1588,1572598,8.05,0.046420001,126635,0,0,0,genuine
IG0000080,65028,8681,2275,1947239,3.9,0.02824512,75984,0,0,0,genuine
IG0000081,141610,802,3811,64268,227.52,0.451235452,146223,1,0,1,fraud
IG0000082,66834,2239,371,1485851,4.67,0.003499678,69444,0,0,0,genuine
IG0000083,102350,9235,3337,1730370,6.64,0.03652398,114922,0,0,0,genuine
IG0000084,18145,918,1334,73681,27.68,0.290441226,20397,1,0,1,fraud
IG0000085,156766,7395,1090,1464572,11.28,0.007442447,165251,0,0,0,genuine
IG0000086,123729,4381,3797,1098291,12.01,0.055996088,131907,0,0,0,genuine
IG0000087,154182,392,4983,847762,18.82,0.10120765,159557,0,0,0,genuine
IG0000088,95680,2329,4662,1306688,7.86,0.020280281,102671,0,0,0,genuine
IG0000089,160663,4139,3793,87556,192.56,0.6281694,168595,1,0,1,fraud
IG0000090,55683,5309,3403,607197,10.61,0.017127884,64395,0,0,0,genuine
IG0000091,195724,8410,591,471829,43.39,0.180573894,204725,1,0,1,fraud
IG0000092,87305,6399,1543,1621801,5.87,0.046183225,95247,0,0,0,genuine
IG0000093,167420,1161,4152,1006580,17.16,0.047785571,172733,0,0,0,genuine
IG0000094,29728,5605,4181,1016916,3.89,0.084471087,39514,0,0,0,genuine
IG0000095,98620,9501,214,1511037,7.17,0.038119517,108335,0,0,0,genuine
IG0000096,21554,2059,1984,1952764,1.31,0.034924855,25597,0,0,0,genuine
IG0000097,161614,6644,2604,30428,561.53,1.754962535,170862,1,0,1,fraud
IG0000098,184536,826,2215,452418,41.46,0.20202556,187577,1,0,1,fraud
IG0000099,126446,2264,1694,1273005,10.24,0.026708458,130404,0,0,0,genuine
IG0000100,192838,9209,3916,891372,23.11,0.037582513,205963,0,0,0,genuine
IG0000101,181564,787,2880,559188,33.12,0.005543753,185231,0,0,0,genuine
IG0000102,79103,6492,3257,1233808,7.2,0.0360672,88852,0,0,0,genuine
IG0000103,188854,886,2611,393280,48.91,0.026698535,192351,1,0,1,fraud
IG0000104,27630,9481,2569,482142,8.23,0.187704037,39680,0,0,0,genuine
IG0000105,191217,3398,4496,1312951,15.17,0.071137461,199111,0,0,0,genuine
IG0000106,87108,4315,358,1025653,8.95,0.019987267,91781,0,0,0,genuine
IG0000107,56225,247,3854,1546578,3.9,0.063042407,60326,0,0,0,genuine
IG0000108,183586,8390,2031,929139,20.88,0.047570923,194007,0,0,0,genuine
IG0000109,156172,3538,727,616730,26.01,0.027564737,160437,0,0,0,genuine
IG0000110,98038,1812,4909,729344,14.36,0.115446209,104759,0,0,0,genuine
IG0000111,125095,48,1024,1172580,10.76,0.061744188,126167,0,0,0,genuine
IG0000112,131540,6006,4281,497056,28.53,0.021929119,141827,0,0,0,genuine
IG0000113,20835,5179,2336,1797356,1.58,0.002281129,28350,0,0,0,genuine
IG0000114,172907,5971,4507,659383,27.81,0.010767642,183385,0,0,0,genuine
IG0000115,112677,9911,446,732450,16.8,0.020615742,123034,0,0,0,genuine
IG0000116,141901,3362,1679,1979483,7.42,0.022430099,146942,0,0,0,genuine
IG0000117,188652,1878,1122,26232,730.6,3.674900884,191652,1,0,1,fraud
IG0000118,125362,4667,4311,913327,14.71,0.010401532,134340,0,0,0,genuine
IG0000119,198873,7025,713,681346,30.32,0.072650313,206611,0,0,0,genuine
IG0000120,105175,2900,1311,492754,22.2,0.17879104,109386,0,0,0,genuine
IG0000121,106243,5998,3962,170468,68.17,0.051622592,116203,1,0,1,fraud
IG0000122,8278,8409,3444,3533,569.8,8.236626097,20131,1,0,1,fraud
IG0000123,155651,1008,2354,1241485,12.81,0.015787545,159013,,,,unlabeled
